論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
31,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4613,Presentation (DSC),なし,"北林,遼大|笠西,哲|楢原,太郎|山崎,俊彦",Graph Neural Networks を用いた不動産物件の住み心地の予測・分析,,"本研究では、間取り図をグラフ構造として表現し、Graph Neural Networks（GNN）を用いて不動産物件の住み心地を予測・分析する手法を提案します。LIFULL HOME'Sデータセットから1,000件の間取り図と、クラウドソーシングにより収集した9つの属性（開放感、現代感、高級感、動線、水回り、収納、風通し、日照条件、プライバシー）に対する魅力度スコアを使用しました。間取り図をグラフ構造に変換し、GNNにより各属性の魅力度スコアを予測しました。その結果、テストデータにおける実際のスコアと予測値の相関係数は平均0.566となり、特に「現代感」や「プライバシー」の項目で高い相関が得られました。さらに、予測モデルの判断根拠を可視化するためにLIMEを適用し、間取り内のどのような構造が各属性のスコアに寄与しているかを分析しました。例えば、「現代感」のスコアに対しては和室の存在が減少要因として寄与していることが可視化されました。これらの結果は、間取り図から住み心地を評価する際の有用な指標となる可能性を示唆しています。",5,A1,間取り図→グラフ,B2,住み心地GNN,C1 / C5 / C6,(1) ML/DL(GNN) / (5) Graph/KE + (6) IoT/CS/Other?,ja,2022/11/26,NII-IDRユーザフォーラム2021,,,,,2021,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2021_P05.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
32,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4728,Conference Paper (DSC),なし,"北林,遼大|楢原,太郎|山崎,俊彦",不動産間取り画像を用いた住み心地要因の分析・可視化,,本研究では，不動産物件における住み心地という観点に着目し，間取り画像から得られる情報を用いて，間取り中のどのような構造が住居に対する人々の評価に影響を与えているのかについての知見を得ることを目指す．具体的には，まず，グラフ化された間取り図データを Graph Neural Networks （GNN） を用いて解析することで，住み心地に関する魅力を推定するモデルを構築する．次に，上記の推定モデルに対しLocal Interpretable Model Explanations （LIME） を適用することで， 住み心地の増減に寄与した間取り構造の可視化を行う．,5,A1,画像：間取り図,B2,住み心地要因可視化,C1 / C6,(1) ML/DL + (6) IoT/CS/Other(可視化/主観評価),ja,2022/11/26,情報処理学会第84回全国大会講演論文集,,,2-209,2-210,2022,10.11517/?action=pages_view_main&active_action=repository_view_main_item_detail&item.220852&item.1_view_main&active_action=repository_view_main_item_detail&item_id=220852&item_no=1&page_id,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=220852&item_no=1&page_id=13&block_id=8,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
33,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5010,Conference Paper (DSC)_03,あり（会議）,"Kitabayashi,Ryota|Narahara,Taro|Yamasaki,Toshihiko",Graph Neural Network Based Living Comfort Prediction Using Real Estate Floor Plan Images,,"In recent years, machine learning has been widely used in the real estate field. However, most of these previous studies have been limited to analysis based on objective perspectives, such as analysis of the structure of the floor plan and rent estimation. On the other hand, we focus on the subjective ""living comfort"" of real estate properties and aim to predict people's impressions of properties based on information obtained from floor plan images. Specifically, by using deep learning to analyze floor plan images and graph structures reflecting the floor plans, it becomes possible to predict the attractiveness of each property in terms of spaciousness, modernity, privacy, and so on. As a result of the experiments, the effectiveness of using both the floor plan image and the corresponding graph structure for prediction was confirmed.",5,A1,画像：間取り図,B2,住み心地GNN,C1 / C5 / C6,(1) ML/DL(GNN) / (5) Graph/KE + (6) IoT/CS/Other?,en,2023/12/3,Proceedings of the 4th ACM International Conference on Multimedia in Asia (MMAsia '22),,,1,5,2022,10.1145/3551626.3564970,https://dl.acm.org/doi/abs/10.1145/3551626.3564970,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
34,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4569,Departmental Bulletin Paper (DSC),なし,"沖,拓弥|小川,芳樹",不動産データベースの外観画像と属性情報を用いた建物構造・築年代推定モデル,,,6,A1 / A2,外観画像・属性情報,B3,建物構造推定・防災分野への応用,C1,(1) ML/DL,ja,2022/11/26,日本建築学会計画系論文集,86,779,357,367,2021,10.3130/aija.86.357,https://www.jstage.jst.go.jp/article/aija/86/779/86_357/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
35,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4570,Presentation (DSC),なし,"沖,拓弥|小川,芳樹",LIFULL HOME'Sデータセットの外観画像と属性情報を用いた建物構造・築年代推定モデルの構築,,本研究では、LIFULL HOME'Sデータセットに含まれる建物外観画像と属性情報（階数、面積）を用いて、建物の構造（木造、鉄骨造、鉄筋コンクリート造の3クラス）および築年数（7クラス）を推定するマルチモーダルモデルを構築しました。ベースラインとして、外観画像のみを用いた畳み込みニューラルネットワーク（CNN）モデルと比較し、提案モデルではL1正則化を適用することで、精度の向上が確認されました。さらに、Grad-CAM（Class Activation Map）を用いて、モデルが建物のファサード（窓枠やその配置などのデザイン）に注目して分類を行っていることを可視化しました。これらの結果は、建物単位での構造・築年数推定の精度向上に寄与し、広域な地震被害想定のためのデータ整備に貢献する可能性を示唆しています。,6,A1 / A2,外観画像・属性情報,B3,建物構造・築年数推定,C1,(1) ML/DL,ja,2022/11/26,NII-IDRユーザフォーラム2020,,,,,2020,10.3130/idr..,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2020_P06.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
36,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4577,Conference Paper (DSC),なし,"小川,芳樹|沖,拓弥|関本,義秀",建物画像と属性情報のマルチモーダル学習による建物構造・築年代推定手法,,,6,A1 / A2,外観画像・属性情報,B3,建物構造・築年数推定,C1,(1) ML/DL,ja,2022/11/26,日本建築学会大会学術講演梗概集,,,65,66,2020,10.3130/detail.html..65,https://www.aij.or.jp/paper/detail.html?productId=652263,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
37,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4575,Conference Paper (DSC),なし,"小川,芳樹|沖,拓弥|陳,聖隆|関本,義秀",不動産外観画像と属性情報を用いた深層学習による建物構造・築年代の推定手法の検討,,"建物の構造や築年数は、大規模地震時の建物の倒壊危険度に大きな影響を及ぼす重要な要素である。そのため、地震被害想定のための危険度評価においても考慮される。したがって、正確な建物の築年数や構造に関するデータの整備は、学術的観点だけでなく、防災の観点からも極めて重要である。

近年、ニューラルネットワークを活用した深層学習技術が注目されており、様々な画像認識タスクへの応用が進んでいる。本研究では、不動産データの建物外観画像および属性データを用い、建物の構造（3クラス：木造、鉄骨造、鉄筋コンクリート造）と築年数（7クラス）を推定するモデルを構築する。

本研究では、建物の外観画像データと属性情報を用いたマルチモーダル学習モデルを開発した。
以下の2つの情報を統合することで推定モデルを構築する。

建物の外観画像からの特徴抽出

畳み込みニューラルネットワーク（CNN） を用い、建物の構造や築年数に関連する画像特徴を学習する。
ソフトマックス関数を適用し、各クラスに分類される確率を出力する。
建物の属性データを活用した学習

建物の延べ床面積、階数、地下階数などの情報を利用する。
Least Absolute Shrinkage and Selection Operator（LASSO）を用いたLogitモデルを適用し、属性情報の寄与を解析。
クロスバリデーションによる誤差最小化を行い、最適な推定モデルを構築する。
この2つの情報を組み合わせたマルチモーダル学習を適用することで、建物の築年数と構造の推定精度を向上させることを目指した。",6,A1 / A2,外観画像・属性情報,B3,建物構造・築年数推定,C1,(1) ML/DL,ja,2022/11/26,CSISDAYS2020「全国共同利用研究発表大会」,,,,,2020,10.3130/uploads..,https://www.csis.u-tokyo.ac.jp/wp-content/uploads/2020/12/days20all.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
38,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4576,Conference Paper (DSC),なし,"小川,芳樹|沖,拓弥|陳,聖隆|関本,義秀",セマンティックセグメンテーションによる不動産物件外観画像からの建物抽出: 建物構造・築年代推定への応用,,本研究では、不動産データセットに含まれる建物外観画像を用いて、セマンティックセグメンテーション（Semantic Segmentation） により建物部分のみを抽出し、その情報を基に建物構造および築年代の推定を行う。建物の構造や築年数は、地震時の被害予測や防災対策に重要であり、機械学習の手法を活用した高精度な推定手法の開発が求められている。本研究では、深層学習（Deep Learning）の一手法である畳み込みニューラルネットワーク（CNN）を用いて、建物の構造（木造・S造・RC造の3クラス）および築年数（7クラス分類）を推定するモデルを構築し、セマンティックセグメンテーションの有用性を検証した。,6,A1,画像：外観,B3,構造推定・防災等への応用,C1 / C3,(1) ML/DL(セグメンテーション) / (3) CV,ja,2022/11/26,地理情報システム学会講演論文集,29,,,,2020,10.11517/files.conferences.files_C24,https://www.gisa-japan.org/content/files/conferences/proceedings/2020cd/papers/C24-2-4.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
39,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5023,Conference Paper (DSC)_03,なし,"下村,隼生|沖,拓弥",説明文・内観画像・間取り画像を用いた不動産物件の分析手法―ハウスメーカーが提案する子育て世帯向け住宅実例を対象としたケーススタディ―,,住まい探しにおいて考慮すべき観点は多く，居住者のニーズと実態との間に存在するギャップに，入居後に気づくことも多い．もし，物件の多様な特徴と住まい手のニーズのそれぞれを定量的に表現する手法があれば，こうしたギャップの縮小を支援できる可能性がある．そこで本稿では，住宅供給側の視点に立ち，ハウスメーカーがホームページ上で公開している子育て世帯向け住宅実例を対象に，説明文・内観画像・間取り画像データを用いて，提案物件の特徴を多様な観点から分析する手法を構築する．,26,A1 / A2,内観/間取り・テキスト,B3,建築・住宅分析分野への応用,C1 / C3 / C6,(1) ML/DL? / (3) CV / (6) NLP?（説明文解析）,ja,2023/12/3,地理情報システム学会講演論文集,31,,,,2022,,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
40,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4614,Presentation (DSC),なし,"趙,琛渤|小川,芳樹|沖,拓弥",LIFULL HOME'S データセットと深層学習を用いた建物構造・築年代推定の高精度化についての検討,,本研究では、LIFULL HOME'Sデータセットに含まれる建物外観画像を用いて、建物の構造（木造、S造、RC造の3クラス）および築年数（7クラス）を推定するモデルの開発と精度検証を行いました。従来のCNNベースのモデルと比較し、Swin Transformerを用いたモデル（Model2）が最も高い精度を示しました。具体的には、構造の3クラス分類で80.4%、築年数の7クラス分類で49.0%の正解率を達成しました。これらの結果は、建物外観画像のみを用いた場合でも、建物の構造や築年数を高精度に推定できる可能性を示唆しています。,6,A1 / A2,画像：外観・属性情報,B3,建物構造・築年数推定,C1,(1) ML/DL,ja,2022/11/26,NII-IDRユーザフォーラム2021,,,,,2021,10.3130/idr..,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2021_P06.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
41,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4740,Conference Paper (DSC),なし,"陳,聖隆|沖,拓弥|小川,芳樹",インスタンスセグメンテーションによるパノラマ画像からの建物抽出：建物築構造推定への応用,Building extraction from panoramic images by instance segmentation:\nAn application for estimating building structure type,,6,A1,画像：外観パノラマ,B3,建物構造・築年数推定への応用,C1 / C3,(1) ML/DL(Mask R-CNN) / (3) CV,en,2022/11/26,日本建築学会大会学術講演梗概集,,,137,138,2021,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
42,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4574,Presentation (DSC),なし,"陳,聖隆|小川,芳樹|沖,拓弥",深層学習を用いた不動産外観画像における建物セグメンテーションの試み,,本研究では、建物外観画像から建物の構造や築年数を自動的に推定する際、画像内の建物以外の要素が予測精度に与える影響を軽減するため、Semantic Segmentation（意味的セグメンテーション）およびInstance Segmentation（インスタンス・セグメンテーション）手法を適用し、対象建物のみを抽出する手法を開発・検証しました。具体的には、PSPNetを用いて画像内の建物クラスとそれ以外のクラスを識別し、建物部分を抽出しました。その結果、建物構造別に目視で検証したところ、いずれの構造においても建物クラスを95%以上の高精度で抽出でき、PSPNetによるSemantic Segmentationが有効であることが確認されました。さらに、Mask R-CNNを用いたInstance Segmentationでは、モデルが建物エリアを大まかに検出できるものの、平均精度がまだ高くなく、特に中規模建築の認識率が低いことが判明しました。今後の課題として、Instance Segmentationモデルの精度向上のために、教師データの数を増やし、高解像度な画像を用いて学習することや、モデルの汎用性を検証し、車載カメラで撮影したパノラマ画像への適用可能性を検討することが挙げられます。 ,6,A1,画像：外観,B3,建物外観画像解析,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,NII-IDRユーザフォーラム2020,,,,,2020,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2020_P05.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
43,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4878,Presentation (DSC),なし,"津熊,哲朗|沖,拓弥",深層学習を用いた間取り特許図面のグラフ化及び図面検索への応用,,本研究では、特許文献の間取り図面を深層学習によりグラフ構造として表現し、特許審査における図面検索の効率化を目指しました。特許文献は権利範囲、詳細説明、図面の3つの書類から構成され、特許審査では既存文献との類似性を調査する必要がありますが、間取りに関する分類が存在しないため、文献の絞り込みに時間がかかるという課題があります。本研究では、特許図面をグラフ化し、グラフ類似度を計算することで、審査対象の特許に類似していない文献を除外し、審査の効率化を図ることを目的としました。具体的には、特許図面をラベル付きのグラフに変換し、最大共通部分グラフ（MCS）を用いてグラフ間の類似度を計算しました。さらに、権利範囲の文章を形態素解析し、ラベルに対応する類語辞書を用いて、文章内に存在するラベルを抽出し、一対のラベルから特徴エッジを特定することで、類似度計算に権利範囲の内容を反映させました。検証の結果、提案手法により、審査対象の特許に類似した文献を上位10%以内で発見でき、審査の効率化に寄与する可能性が示されました。,6,A1,画像：間取り図,B4,検索・審査効率化への応用,C1 / C5,(1) ML/DL / (5) Graph/KE,ja,2022/12/28,NII-IDRユーザフォーラム2022,,,,,2022,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2022_P17.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
44,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5025,Conference Paper (DSC)_03,なし,"尭,裕佳|沖,拓弥|斎尾,直子|深川,正浩|丹波,奨真",東京都大田区における空家の特徴に関する基礎的分析,,,6,A2 / A3,空家属性・GIS要素,B3,空き家問題・都市計画分野,C2 / C6,(2) Stat(基礎統計) / (6) その他,ja,2023/12/3,地理情報システム学会講演論文集,31,,,,2022,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
45,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4739,Conference Paper (DSC),あり（会議）,"Oki,Takuya|Ogawa,Yoshiki",Model for Estimation of Building Structure and Built Year Using Building Facade Images and Attributes Obtained from a Real Estate Database,,,6,A1,画像：外観,B3,建物構造・築年数推定,C1,(1) ML/DL,en,2022/11/26,"The 17th International Conference on CUPUM - Computational Urban Planning and Urban Management, Urban Informatics and Future Cities",,,549,573,2021,10.1007/978-3-030-76059-5,https://link.springer.com/chapter/10.1007/978-3-030-76059-5_27,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
46,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5024,Conference Paper (DSC)_03,なし,"Yao,Yujia|Oki,Takuya|Saio,Naoko|Fukagawa,Masahiro|Tamba,Shoma",Basic Analysis of Characteristics of Vacant Houses in Ota Ward,,本研究は、東京都大田区を対象に、空き家の発生を地理的属性、建物属性、および建物画像から予測し、空き家の地理的分布パターンと外観特性を明らかにすることを目的とする。ランダムフォレストを用いた回帰分析と、VGG16を活用した転移学習による画像分類モデルを組み合わせ、空き家の特性分析を実施した。,6,A2 / A3,空き家属性・地理的特徴,B3,空き家問題・都市計画分野,C2,(2) Stat/Spatial(基礎集計),en,2023/12/3,CSISDAYS2022「全国共同利用研究発表大会」,,,,,2022,view?usp=sharing/5HSCoIr/view?usp=sharing,https://drive.google.com/file/d/1sUNui5dSvaav16AkcVEJ_lzIw5HSCoIr/view?usp=sharing,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
47,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4735,Presentation (DSC),なし,"山田,慧|岡本,一志|柴田,淳司",住宅価格推定におけるカルマンフィルタの適用方法の検討,,,7,A2,価格属性,B1,住宅価格予測,C2,(2) Stat/Spatial(カルマンフィルタ),ja,2022/11/26,動的システムの状態推定とデータからの学習およびその応用研究会,,,,,2022,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
48,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5019,Conference Paper (DSC)_03,なし,"山田,慧|岡本,一志|柴田,淳司",カルマンフィルタによる住宅価格の説明変数の逐次推定,,不動産業において重要な課題である「情報の非対称性」の問題に対し，多くの従来研究では，回帰手法を用いて推定精度の高い住宅の価格決定構造の可視化を行うことで解決を図ってきた．しかし，時間経過による価格決定構造の変化に対応しているモデルはほとんどない．本研究では，カルマンフィルタを用い説明変数を状態として捉えることで，時間経過による価格決定構造の変化を可視化できることを示す．また，LIFULL HOME’Sデータセットのうち2年分の東京都23区の新築戸建住宅を対象として実験を行い，推定初期において推定の安定性に欠けることが観測されたが，地理的加重回帰モデルと比較してMSEと実行速度ともに優れた結果であることを確認している．,7,A2,住宅価格属性,B1,住宅価格推定,C2,(2) Stat/Spatial(カルマンフィルタ),ja,2023/12/3,人工知能学会 全国大会論文集,36,,,,2022,10.11517/pjsai.jsai2022.0_4yin254,https://www.jstage.jst.go.jp/article/pjsai/JSAI2022/0/JSAI2022_4Yin254/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,TRUE
49,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5020,Conference Paper (DSC)_03,なし,"市原,大也|岡本,一志|柴田,淳司",不動産物件画像分類におけるラベルノイズの影響,,不動産業界では，不動産物件画像分類のように物件画像を活用した研究が取り組まれているが，近年ラベルの品質の問題が指摘されている．物件画像にはキッチンやトイレなどの画像に対応するラベルが一対一で存在するが，誤ったラベルの付与や，複数のラベルを付与すべき画像の存在，画像が曖昧であり適切なラベルが存在しない，といったラベルノイズの問題がある．そこで本研究では物件画像においてラベルノイズを3種類仮定し，不動産物件画像分類におけるラベルノイズの影響を調査する． LIFULL HOME'Sデータセットに対して，物件画像の分類モデルの学習に使用する訓練データを複数のアノテータによって3種類のラベルノイズに分類し，訓練データにおけるラベルノイズの有無による物件画像の分類モデルの精度比較実験を行う．実験結果として，誤ったラベルをもつデータを除去した場合に最も精度が向上し，複数ラベルを付与すべきデータを除去した場合精度が低下することを確認している．,7,A1,画像：室内 or 間取り写真,B2,物件画像の自動分類・品質向上,C1 / C3,(1) ML/DL / (3) CV,ja,2023/12/3,人工知能学会 全国大会論文集,36,,,,2022,10.11517/pjsai.JSAI2022.0_4Yin244,https://www.jstage.jst.go.jp/article/pjsai/JSAI2022/0/JSAI2022_4Yin244/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
50,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4734,Journal Article (DSC),あり（論文誌）,"服部,凌典|岡本,一志|柴田,淳司",賃料予測モデルにおける間取り図の影響分析,,間取り図が賃料予測に与える影響を明らかにするために，間取り図を考慮した賃料予測モデルを構築し，間取り図の有無による予測誤差を検証する．間取り図の特徴抽出器には，主成分分析，Bag of Features（BoF），Fisher Vector（FV）を適用し，予測器には線形回帰とLightGBMを採用する．LIFULL HOME’Sデータセットを使用した賃料予測実験から，線形回帰においては間取り図を考慮することで，全てのカテゴリ（都道府県と間取り規格の組み合わせ）で予測誤差の95%信頼区間が短くなり，さらに，カテゴリによっては予測誤差の平均値が改善することを確認している．また，検討した3つの間取り図の特徴抽出器の中でBoFが最も予測精度が優れているといえる．,7,A1 / A2,間取り図・賃料属性,B1,賃料予測,C1 / C2,(1) ML/DL / (2) Stat(回帰),ja,2022/11/26,知能と情報（日本知能情報ファジィ学会誌）,33,2,640,650,2021,10.3156/jsoft.33.2_640,https://www.jstage.jst.go.jp/article/jsoft/33/2/33_640/_article/-char/ja,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
51,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4204,Conference Paper (DSC),なし,"服部,凌典|岡本,一志|柴田,淳司",間取り図を用いた賃料予測モデルに関する一検討,,本研究では，間取り図を用いた賃料の線形回帰モデル構築し，間取り図を用いない線形回帰モデルと予測精度を比較することで，間取り図の活用が賃料予測に与える影響を明らかにする．東京都の賃貸物件9万件を利用した賃料予測実験より，間取り図にPCAを適用した線形回帰モデルが間取り図を利用しない線形回帰モデルよりも予測精度（RMSE）が高い傾向にあり，間取り図の利用が賃料の予測精度の向上に寄与することを確認している．また，予測精度の観点から，間取り図からの特徴抽出にはVGG16ベースのニューラルネットワークよりもPCAの適用が望ましいことも示している．,7,A1 / A2,間取り図・賃料属性,B1,賃料予測,C1 / C2,(1) ML/DL / (2) Stat(回帰),ja,2022/11/26,人工知能学会 全国大会論文集,33,,,,2019,10.11517/pjsai.JSAI2019.0_1D2OS10a05,https://www.jstage.jst.go.jp/article/pjsai/JSAI2019/0/JSAI2019_1D2OS10a05/_article/-char/ja,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
52,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4069,Presentation (DSC),なし,"服部,凌典|岡本,一志|柴田,淳司",間取り画像を考慮した家賃予測モデルの検討,,本研究では、物件と1対1対応の取れている間取り画像に着目し、間取りが家賃の決定に与える影響を明らかにすることを目的としています。提案モデルとして、間取り画像を用いた回帰モデルと、物件属性のみを用いた線形回帰モデルを検討しました。LIFULL HOME'Sデータセットから東京都の約9万件の物件データ（面積、徒歩距離、築年数など17属性）と間取り図を使用し、物件価格推定に対する技術的アプローチとその課題を考慮しました。本研究の結果、間取り画像を考慮した家賃予測モデルの有効性が示唆されました。,7,A1 / A2,間取り図・賃料属性,B1,家賃予測,C1 / C2,(1) ML/DL or (2) Stat,ja,2022/11/26,NII-IDRユーザフォーラム2018,,,,,2018,10.3-1 / 313-1 / 30/idr..,https://www.nii.ac.jp/dsc/idr/userforum/startup/IDR-UF2018_S05.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
53,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4070,Presentation (DSC),なし,"服部,凌典|岡本,一志|柴田,淳司",家賃予測における間取り画像からの特徴抽出に関する一検討,,,7,A1 / A2,間取り図・賃料属性,B1,家賃予測,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,日本知能情報ファジィ学会 ソフトロボティクス研究部会 第16回ポトラック&ワークショップ,,,,,2019,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
54,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4206,Departmental Bulletin Paper (DSC),なし,"服部,凌典|岡本,一志|柴田,淳司",賃料予測モデルにおける間取り図の特徴抽出法の比較,,,7,A1 / A2,間取り図・賃料属性,B1,家賃予測,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,計測自動制御学会 システム・情報部門 学術講演会2019 講演論文集,,,,,2019,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
55,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4205,Conference Paper (DSC),あり（会議）,"Hattori,Ryosuke|Okamoto,Kazushi|Shibata,Atsushi",Rent Prediction Models with Floor Plan Images,,"A rent prediction model with floor plan image (FPI) is proposed in order to evaluate that the image contributes to rent prediction accuracy. The proposed model calculates image feature vectors from FPIs using principal component analysis, combines them and attribute vectors, and applies a regressor. Mean squared errors (MSEs) between predicted and ground truth rents of the proposal are measured using 1,089,090 rental properties of the LIFULL HOME'S dataset. The experimental result suggests that the proposed model with linear regression and FPI slightly improves MSEs compared with the without FPI models; however, the differences are not significant and it is difficult to find merits to use FPIs for rent prediction model.",7,A1 / A2,間取り図・賃料属性,B1,賃料予測,C1 / C2,(1) ML/DL / (2) Stat,en,2022/11/26,Proceedings of IEEE 8th Global Conference on Consumer Electronics (GCCE 2019),,,451,452,2019,10.1109/GCCE46687.2019.9015208,https://ieeexplore.ieee.org/document/9015208,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
56,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4565,Conference Paper (DSC),あり（会議）,"Hattori,Ryosuke|Okamoto,Kazushi|Shibata,Atsushi",Visualizing the Importance of Floor-Plan Image Features in Rent-Prediction Models,,"This study proposes a rent-prediction model that allows users to understand which parts of a floor-plan image (FPI) significantly affect a rent prediction. Principal Component Analysis (PCA) and Bag of Features (BoF) are used to extract feature vectors from an FPI. The importance of each feature vector, derived from the FPI, is measured and visualized based on 100,000 rental properties sampled from the LIFULL HOME'S dataset. The experimental result suggests that the wall and orientation symbol drawn on an FPI contribute to the rent prediction for both PCA and BoF, although BoF provides a better understanding of which parts of an FPI significantly affect the rent prediction.",7,A1 / A2,間取り図・賃料属性,B1,家賃予測,C1 / C3,(1) ML/DL / (3) CV (可視化),en,2022/11/26,Joint 11th International Conference on Soft Computing and Intelligent Systems and 21st International Symposium on Advanced Intelligent Systems,,,172,174,2020,10.1109/SCISISIS50064.2020.9322769,https://ieeexplore.ieee.org/document/9322769,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
57,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5018,Conference Paper (DSC)_03,あり（会議）,"Yamada,Satoshi|Okamoto,Kazushi|Shibata,Atsushi",Sequential Estimation of Prices of Newly Built Houses in Tokyo Using the Linear State Space Model,,"In housing pricing, it is necessary to resolve information asymmetry and consider spatiotemporal heterogeneity. Conventional methods are based on regression models, which express heterogeneity by weighting using spatiotemporal distance or sampling by period while ensuring explanatory power through regression coefficients. These methods cannot capture changes from the previous regression coefficient. Therefore, the state-space model is used to update the regression coefficients sequentially, thereby making use of the information from the previous period. To verify the performance of this model, newly built house prices in central Tokyo from June 2016 to July 2017 were estimated and compared with the linear regression model and geographically weighted regression (GWR) in terms of mean absolute percentage error (MAPE) and calculation cost. The results suggest that interpolation can be used to estimate small sample sizes that cannot be estimated by the linear regression model and that the more efficient calculation since average prediction time is 338 times shorter than the linear regression model and 2234 times shorter than GWR. However, the MAPE median was 34.8% and 44.3% worse than that of the linear regression model and GWR, respectively.",7,A2,住宅価格属性,B1,住宅価格推定,C2,(2) Stat/Spatial(状態空間モデル),en,2023/12/3,International Conference on Soft Computing and Intelligent Systems and International Symposium on Advanced Intelligent Systems (SCIS&ISIS),,,1,6,2022,10.1109/SCISISIS55246.2022.10002111,https://ieeexplore.ieee.org/document/10002111,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,TRUE
